"collection","msigdb_version","contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY",0.219565217391304,0.304666106336252,0.136490437780413,-0.38135686864596,-1.18793093334794,26,"RRAS;AGTR1;JUND;IL11RA;TGFBR2;SMAD4;IL6ST;MAPK1;SP1;RAF1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ANK2_PATHWAY_IN_EPILEPSY_DEVELOPMENT",0.21380846325167,0.3000581618033,0.140406238523342,-0.385715502176857,-1.17604841900862,24,"ANK2;SPTAN1;PRICKLE1;ATF4"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ANTIVIRAL_AND_ANTIINFLAMMATORY_EFFECTS_OF_NRF2_ON_SARSCOV2_PATHWAY",0.134361233480176,0.211011854841764,0.179782316298324,-0.401600283856907,-1.28541192296284,29,"GUCY1A2;IL6;PRKG2;NFKBIA;IL12A;IL1B;RXRA;NFE2L2;CCL2;NFKB1;TNF;RELA;CXCL8;HMOX1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_APOPTOSIS",0.167032967032967,0.248109643165823,0.159646701919906,-0.298167925567986,-1.18923131079595,86,"PRF1;GZMB;IRF1;CFLAR;MCL1;TNFRSF1B;CASP1;JUN;MYC;NFKBIA;BCL2L2;TNFRSF1A;FAS;MIR29B2;CRADD;PIK3R1;RIPK1;NFKB1;TNF;BIRC2;BIRC3;RELA;TNFSF10;IGF1R;CASP4;CYCS;BNIP3L;SCAF11"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER",0.335680751173709,0.410898104677447,0.111918316325105,-0.290601173582467,-1.05236262666227,52,"NRG1;ETS1;IL7R;SOCS3;JUND;SMAD7;YBX3;CDKN1A;VIM;NFKB1;TNF;MAPK1;RIPK2;PKN1;CDKN1B;BCL3"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_APOPTOSIS_MODULATION_AND_SIGNALING",0.303493449781659,0.384282897730145,0.11378726182188,-0.271694949741542,-1.08644863568178,87,"CFLAR;MCL1;TNFRSF10D;TNFRSF1B;FOS;CASP1;JUN;MAP3K14;NFKBIA;BCL2A1;BCL2L2;TNFRSF1A;MYD88;FAS;MIR29B2;IL1R1;CRADD;RIPK1;IL1R2;NFKB1;BIRC2;TRAF6;BIRC3;TNFSF10;CASP4;PRKD1;PEA15;CYCS"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_APOPTOSIS_MODULATION_BY_HSP70",0.220614828209765,0.304666106336252,0.122679189568808,0.432250981340227,1.2295226412964,19,"AIFM1;CASP6;FADD;CASP3"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_APOPTOSIS_REGULATION_BY_PARATHYROID_HORMONERELATED_PROTEIN",0.522603978300181,0.569275273599145,0.0716527366829457,0.310878707348173,0.945711950235957,24,"BCL2L15;BAK1;BCL2L12;BCL2L14;BCL2L10;BAX;ITGB4;PTHLH;GSK3A"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY",0.000705333320223702,0.00372980259734294,0.477270815362862,-0.449721316978992,-1.73972638171087,73,"SGCG;ITGA8;DES;ITGA1;ACTN2;SGCA;CACNA2D2;RYR2;CACNB2;GJA1;ITGA5;TCF7L1;CACNA1C;SGCB;SLC8A1;LAMA2;CACNA1D;SGCD;ITGA10;ITGA6;ITGA2B;DMD;CACNG4;ITGA4;ITGA7;LMNA"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2586",0.00115119690295849,0.00570290593062134,0.45505986738723,-0.516438140901968,-1.82383394031865,46,"KLF6;CD36;LPL;PLAGL1;PTGS2;MYC;CYP1A2;CDKN1A;NFE2L2;NFKB1;VEGFA;NCOA7;TNF;MAPK1;RELA;CDKN1B;HPGDS;RAF1;CDC37;RB1;ARNT"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ARYL_HYDROCARBON_RECEPTOR_PATHWAY_WP2873",0.224719101123595,0.308172875192317,0.137250779610133,-0.336634599562803,-1.1674634724338,41,"NCOA1;JUNB;JUND;JUN;IL12A;IL1B;CYP1A2;NFE2L2;TNF;CDKN1B;CDC37;IFNG;SERPINB2;ARNT;AIP"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ATM_SIGNALING",0.0119507432171657,0.0329143386106105,0.380730400722792,0.495341709511394,1.65233948598411,35,"CCNB1;CCNE1;CDK1;RAD51;CHEK1;CDC25C;CHEK2;CDC25A;BRCA1;MAPK9;SMC1A;PIDD1;CASP2;RAD50;TP53BP1;TP73;TP53;TLK1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ATM_SIGNALING_IN_DEVELOPMENT_AND_DISEASE",0.00407455108610195,0.0146261617243405,0.407017918923954,0.481420202416257,1.70433504202374,45,"MAPK13;CDK5;HMGN1;BUB1;CHEK1;CHEK2;AURKB;HSPB1;CDC25A;MTOR;ATR;PRKDC;LMNB2;SMC1A;DCLRE1C;G6PD;RNF40;RAD50;TP53BP1;RBBP8;TP53;ATMIN;TSC2;IKBKG"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_ATOPIC_DERMATITIS_MECHANISM_AND_THERAPIES",0.0278454163862569,0.0615579271950362,0.352487857583619,-0.536054365096335,-1.57908951058681,20,"IL33;IL1RL1;MS4A2;FCER1G;IL4R;STAT6;TSLP;STAT3"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_AUTOPHAGY",0.306839186691312,0.385486482251971,0.102449405629826,0.345743016414149,1.09839165325534,30,"DEPTOR;MLST8;MTOR;AMBRA1;ATG14;BECN1;ATG13;AKT1S1;ATG12;WIPI2;PRKAG1;PRKAA1;ATG16L1"
"WikiPathways","2026.1.Hs","Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","WP_AUTOPHAGY_IN_PANCREATIC_DUCTAL_ADENOCARCINOMA",0.0351592157175137,0.0737785447278621,0.321775918075361,-0.533598920180876,-1.5461359180406,19,"AGER;MITF;NFE2L2;SHOC2;NFKB1;HMGB1;STAT3;TFE3;MAP1LC3B;IPO8"
