"contrast","gene","log2FoldChange","baseMean","stat","pvalue","padj","positive_group","negative_group","positive_n","negative_n"
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234260_AT",0.17312950000001,4.25268191666667,0.961762505613082,0.338099745456104,0.469564915758256,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234261_AT",0.114088333333337,4.35439833333333,3.08091866752211,0.00255859859427079,0.00839038168936133,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234262_AT",0.0513223333333404,4.177402,1.61982265663436,0.107891184226584,0.194358820886741,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234263_AT",0.0121046666666675,5.39298233333333,0.332979589386824,0.739729782696306,0.823012849350201,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234264_AT",0.0703636666666769,6.087125,1.53265857170604,0.127987895389883,0.222664736854232,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234266_AT",0.0131795000000015,4.41147125,0.344722981221698,0.730905086097459,0.815880313765806,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234269_AT",0.300551000000005,4.8330815,3.91688748259747,0.000149411096821624,0.000693692818518166,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","X234270_AT",0.0255171666666705,4.33729258333334,0.889998268640532,0.375244709792277,0.508266527746011,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","OTOP2",0.081052750000004,5.921244625,2.58196110350512,0.0110242747591514,0.0294283924643364,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
"Primary contrast: Tumor vs. Normal in Non-Smoking Female Lung Cancer Patients","LOC100653005",0.00467750000000944,5.25889008333333,0.19774450875482,0.843578998222567,0.898740764982032,"frozen tissue of primary tumor","frozen tissue of adjacent normal",60,60
